                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.27576,                 0.2274,                0.93829,                      1,                0.99873,                  0.995,                0.94302,                0.31887,                0.21741,                0.71812,              0.0014773,              0.0014773,              0.0014773
                     69,                0.28045,                0.23425,                0.93924,                0.89972,                0.97581,                0.97692,                0.94445,                0.27503,                0.37369,                0.66561,              0.0014694,              0.0014694,              0.0014694
                     70,                 0.2855,                 0.2239,                0.93645,                0.99091,                0.99194,                0.99484,                0.96492,                 0.2989,                0.20387,                0.66278,              0.0014614,              0.0014614,              0.0014614
                     71,                0.28766,                0.23018,                0.93618,                0.94203,                0.91739,                0.97774,                0.92397,                0.34676,                0.37861,                0.70431,              0.0014535,              0.0014535,              0.0014535
                     72,                0.28753,                0.22793,                 0.9388,                0.99122,                      1,                0.99492,                0.96547,                0.25883,                0.23784,                0.63633,              0.0014456,              0.0014456,              0.0014456
                     73,                0.27591,                0.22473,                0.93263,                      1,                 0.9977,                  0.995,                 0.9727,                0.23917,                0.18148,                0.63245,              0.0014377,              0.0014377,              0.0014377
                     74,                0.29686,                0.22974,                0.93606,                 0.9944,                0.99194,                  0.995,                 0.9647,                0.28359,                0.22327,                0.66861,              0.0014298,              0.0014298,              0.0014298
                     75,                0.27647,                0.22474,                0.92858,                0.99912,                      1,                  0.995,                0.96501,                 0.2775,                0.22283,                0.64441,              0.0014218,              0.0014218,              0.0014218
                     76,                 0.2867,                0.23646,                0.94096,                0.99836,                      1,                  0.995,                0.97917,                0.24754,                0.21441,                0.62815,              0.0014139,              0.0014139,              0.0014139
                     77,                0.28045,                0.23261,                0.92836,                0.99759,                0.99194,                  0.995,                0.96463,                0.24867,                0.21771,                0.63292,               0.001406,               0.001406,               0.001406
                     78,                0.27457,                0.21878,                0.92625,                0.99865,                      1,                  0.995,                0.97378,                0.27048,                0.21606,                0.64354,              0.0013981,              0.0013981,              0.0013981
                     79,                0.26351,                0.20832,                0.92553,                0.97165,                0.98387,                 0.9929,                0.96797,                0.25068,                0.23018,                 0.6688,              0.0013902,              0.0013902,              0.0013902
                     80,                0.25728,                0.20728,                0.92796,                0.98385,                0.98234,                0.99404,                0.95811,                0.30575,                0.24589,                0.66883,              0.0013822,              0.0013822,              0.0013822
                     81,                 0.2694,                0.21676,                 0.9307,                0.99186,                0.98302,                 0.9941,                0.94811,                0.32267,                0.25109,                0.71523,              0.0013743,              0.0013743,              0.0013743
                     82,                0.26191,                0.21299,                0.92812,                0.98412,                 0.9993,                0.99492,                0.97816,                0.27374,                0.19425,                0.66005,              0.0013664,              0.0013664,              0.0013664
                     83,                0.26875,                0.22657,                0.93014,                0.99888,                0.99194,                  0.995,                0.96851,                0.32062,                0.23464,                0.70028,              0.0013585,              0.0013585,              0.0013585
                     84,                0.26694,                0.21674,                0.92892,                0.98383,                0.98116,                0.99343,                0.96815,                0.27489,                0.22519,                0.65552,              0.0013506,              0.0013506,              0.0013506
                     85,                0.27082,                0.22433,                0.92337,                0.98899,                0.98387,                 0.9946,                0.96734,                0.24212,                0.20402,                0.63042,              0.0013426,              0.0013426,              0.0013426
                     86,                0.26385,                0.21225,                0.92195,                 0.9945,                0.99194,                  0.995,                0.97361,                0.24777,                0.19547,                 0.6239,              0.0013347,              0.0013347,              0.0013347
                     87,                 0.2591,                0.20537,                0.92412,                0.99892,                      1,                  0.995,                0.97525,                0.26552,                0.18632,                0.65529,              0.0013268,              0.0013268,              0.0013268
                     88,                0.26107,                0.21177,                0.92709,                0.99118,                      1,                0.99492,                0.96737,                0.28253,                0.19757,                0.65803,              0.0013189,              0.0013189,              0.0013189
                     89,                 0.2604,                0.20655,                0.92494,                0.99963,                      1,                  0.995,                0.97336,                0.26396,                0.19884,                0.66138,               0.001311,               0.001311,               0.001311
                     90,                0.24602,                0.20676,                0.91573,                0.99122,                      1,                  0.995,                0.96859,                 0.2558,                0.18208,                0.66724,               0.001303,               0.001303,               0.001303
                     91,                0.25605,                0.21383,                0.91744,                0.99199,                0.99933,                  0.995,                0.97791,                0.23791,                0.17791,                0.61449,              0.0012951,              0.0012951,              0.0012951
                     92,                0.25331,                0.21317,                0.91948,                0.99193,                0.99146,                0.99492,                0.97692,                0.23013,                0.17896,                0.59767,              0.0012872,              0.0012872,              0.0012872
                     93,                0.25727,                0.20819,                0.92175,                0.99858,                0.99194,                  0.995,                0.97477,                0.24879,                0.18377,                0.64168,              0.0012793,              0.0012793,              0.0012793
                     94,                0.24883,                0.20557,                0.91595,                0.98294,                      1,                0.99484,                0.97892,                0.24552,                 0.1782,                0.62033,              0.0012714,              0.0012714,              0.0012714
                     95,                0.24126,                0.20172,                0.91376,                0.97494,                      1,                0.99468,                 0.9644,                0.28796,                0.19467,                 0.6668,              0.0012634,              0.0012634,              0.0012634
                     96,                0.25062,                0.20591,                0.92022,                0.98171,                      1,                0.99468,                0.98096,                0.23482,                0.17674,                0.61643,              0.0012555,              0.0012555,              0.0012555
                     97,                0.25536,                0.20594,                0.92342,                0.98955,                      1,                 0.9946,                0.98128,                0.22667,                0.17703,                0.60995,              0.0012476,              0.0012476,              0.0012476
                     98,                0.26137,                0.21077,                0.92436,                0.98291,                0.99194,                0.99387,                0.96666,                0.25681,                0.23066,                0.63092,              0.0012397,              0.0012397,              0.0012397
                     99,                 0.2505,                0.20075,                0.92495,                0.99035,                      1,                0.99492,                0.97781,                0.21613,                0.18772,                0.60594,              0.0012318,              0.0012318,              0.0012318
                    100,                0.23683,                  0.192,                0.91238,                0.99657,                      1,                  0.995,                0.97184,                0.21123,                0.17734,                 0.5963,              0.0012238,              0.0012238,              0.0012238
                    101,                0.23902,                0.19407,                0.91999,                0.99258,                      1,                  0.995,                0.98032,                0.22691,                0.19267,                0.61929,              0.0012159,              0.0012159,              0.0012159
                    102,                0.24391,                0.20224,                0.91121,                0.99126,                      1,                0.99492,                0.97162,                 0.2398,                0.17092,                0.61478,               0.001208,               0.001208,               0.001208
                    103,                0.23601,                0.19283,                0.91734,                0.97636,                0.99943,                 0.9942,                0.96914,                0.25274,                0.19224,                0.65463,              0.0012001,              0.0012001,              0.0012001
                    104,                0.22973,                0.18579,                0.90025,                0.99136,                      1,                0.99468,                0.97353,                0.21677,                0.16191,                0.61565,              0.0011922,              0.0011922,              0.0011922
                    105,                0.23326,                0.18762,                0.90586,                      1,                0.99919,                  0.995,                0.97374,                0.24946,                0.18326,                0.62731,              0.0011842,              0.0011842,              0.0011842
                    106,                0.23319,                0.19133,                0.90876,                0.98184,                      1,                 0.9946,                0.97467,                0.26999,                0.19379,                0.65904,              0.0011763,              0.0011763,              0.0011763
                    107,                0.22953,                0.19138,                0.91272,                0.99021,                      1,                0.99484,                0.97039,                0.26498,                0.17289,                0.66173,              0.0011684,              0.0011684,              0.0011684
                    108,                0.23479,                0.19014,                 0.9093,                0.98994,                      1,                  0.995,                0.97465,                0.23957,                0.17499,                0.63399,              0.0011605,              0.0011605,              0.0011605
                    109,                0.23129,                0.18775,                0.90912,                0.99696,                      1,                  0.995,                0.97202,                0.26552,                0.19226,                0.63189,              0.0011526,              0.0011526,              0.0011526
                    110,                0.23158,                 0.1886,                0.91059,                0.98766,                      1,                0.99492,                0.96763,                  0.265,                0.20255,                0.66188,              0.0011446,              0.0011446,              0.0011446
                    111,                0.23352,                0.19076,                0.91279,                0.99939,                      1,                  0.995,                0.97032,                0.25362,                0.17766,                0.64373,              0.0011367,              0.0011367,              0.0011367
                    112,                 0.2305,                0.19137,                0.90662,                0.99952,                      1,                  0.995,                0.97618,                0.24726,                 0.1748,                0.62896,              0.0011288,              0.0011288,              0.0011288
                    113,                0.22893,                0.19277,                0.90674,                0.99863,                      1,                  0.995,                0.97732,                0.23675,                0.19092,                0.60543,              0.0011209,              0.0011209,              0.0011209
                    114,                0.22997,                 0.1908,                0.90964,                0.99181,                0.97629,                0.99446,                0.97303,                0.25113,                0.24499,                0.63298,               0.001113,               0.001113,               0.001113
                    115,                0.22984,                0.19372,                0.90101,                0.98409,                0.99768,                0.99476,                0.98054,                0.20859,                0.16187,                0.59287,               0.001105,               0.001105,               0.001105
                    116,                0.23365,                0.19356,                0.91626,                      1,                0.99744,                  0.995,                0.97469,                0.24486,                0.17749,                0.62941,              0.0010971,              0.0010971,              0.0010971
                    117,                0.22197,                0.18521,                0.90635,                0.99441,                      1,                  0.995,                  0.977,                0.22751,                0.17193,                0.61061,              0.0010892,              0.0010892,              0.0010892
                    118,                0.22516,                0.18619,                0.90561,                0.99965,                0.96774,                0.98934,                0.93904,                 0.2946,                0.29816,                0.66848,              0.0010813,              0.0010813,              0.0010813
                    119,                0.21659,                0.18181,                 0.9038,                0.99193,                0.99147,                0.99371,                0.96911,                0.26317,                0.21083,                0.65362,              0.0010734,              0.0010734,              0.0010734
                    120,                0.22302,                0.17914,                0.90163,                      1,                0.99177,                  0.995,                0.95961,                0.24285,                0.18116,                0.62124,              0.0010654,              0.0010654,              0.0010654
                    121,                0.22934,                0.19055,                0.91663,                0.99793,                0.99194,                  0.995,                0.96747,                0.25245,                0.18662,                0.63545,              0.0010575,              0.0010575,              0.0010575
                    122,                  0.224,                0.18444,                0.90868,                0.99196,                0.99458,                  0.995,                0.97484,                0.23922,                0.17487,                0.62626,              0.0010496,              0.0010496,              0.0010496
                    123,                 0.2304,                0.18161,                0.90512,                0.99291,                0.99194,                  0.995,                0.97243,                0.24402,                 0.1825,                0.62899,              0.0010417,              0.0010417,              0.0010417
                    124,                0.21675,                0.17598,                 0.8997,                0.99896,                      1,                  0.995,                0.97215,                0.25365,                0.17085,                0.63114,              0.0010338,              0.0010338,              0.0010338
                    125,                0.21636,                 0.1707,                0.90596,                      1,                0.99671,                  0.995,                0.97032,                0.22786,                0.16053,                0.60626,              0.0010258,              0.0010258,              0.0010258
                    126,                0.21166,                0.17378,                0.89695,                0.99692,                      1,                  0.995,                0.97129,                0.23662,                0.16314,                0.62273,              0.0010179,              0.0010179,              0.0010179
                    127,                0.21279,                0.16991,                 0.8988,                      1,                0.99801,                  0.995,                 0.9798,                0.24361,                 0.1723,                0.63043,                0.00101,                0.00101,                0.00101
                    128,                0.22424,                0.18314,                0.90254,                0.97582,                 0.9763,                0.98718,                0.97531,                0.21601,                 0.1654,                0.59777,              0.0010021,              0.0010021,              0.0010021
                    129,                0.21503,                0.18043,                 0.8965,                0.99962,                      1,                  0.995,                0.98313,                0.20325,                 0.1318,                0.58781,             0.00099416,             0.00099416,             0.00099416
                    130,                0.20921,                0.17312,                0.89556,                0.99133,                      1,                0.99476,                0.97885,                0.22244,                0.16381,                0.60861,             0.00098624,             0.00098624,             0.00098624
                    131,                0.21641,                0.17704,                0.89737,                0.98194,                      1,                0.99468,                0.97948,                0.22574,                0.16959,                0.61782,             0.00097832,             0.00097832,             0.00097832
                    132,                0.21261,                0.17571,                0.90057,                0.99791,                      1,                  0.995,                0.98042,                0.22487,                0.17365,                0.60339,              0.0009704,              0.0009704,              0.0009704
                    133,                 0.2165,                0.17138,                0.90216,                      1,                0.99944,                  0.995,                 0.9797,                 0.2171,                 0.1559,                0.61251,             0.00096248,             0.00096248,             0.00096248
